US Census 2019 Estimated Population Density in Persons Per Square Mile,,
Data Source: U.S. Bureau of the Census( http://census.gov ),,
Tue Apr 07 19:48:22 2020,,
State,Area,Density_persons_per_square_mile
Georgia,Richmond,621.45
Georgia,Rockdale,697.84
Georgia,Schley,31.37
Georgia,Screven,21.58
Georgia,Seminole,35.00
Georgia,Spalding,337.26
Georgia,Stephens,145.33
Georgia,Stewart,13.51
Georgia,Sumter,61.57
Georgia,Talbot,16.03
Georgia,Taliaferro,8.26
Georgia,Tattnall,52.81
Georgia,Taylor,21.34
Georgia,Telfair,36.30
Georgia,Terrell,25.65
Georgia,Thomas,81.61
Georgia,Tift,155.51
Georgia,Toombs,73.86
Georgia,Towns,71.20
Georgia,Treutlen,34.14
Georgia,Troup,169.16
Georgia,Turner,27.72
Georgia,Twiggs,22.79
Georgia,Union,74.52
Georgia,Upson,81.04
Georgia,Walker,155.49
Georgia,Walton,286.10
Georgia,Ware,39.68
Georgia,Warren,18.47
Georgia,Washington,30.05
Georgia,Wayne,46.43
Georgia,Webster,12.47
Georgia,Wheeler,26.66
Georgia,White,124.49
Georgia,Whitfield,358.29
Georgia,Wilcox,23.32
Georgia,Wilkes,21.04
Georgia,Wilkinson,20.12
Georgia,Worth,35.57
Hawaii,Hawaii,49.89
Hawaii,Honolulu,1631.92
Hawaii,Kalawao,7.34
Hawaii,Kauai,116.37
Hawaii,Maui,143.95
Idaho,Ada,446.73
Idaho,Adams,3.12
Idaho,Bannock,78.33
Idaho,Bear Lake,6.20
Idaho,Benewah,11.87
Idaho,Bingham,22.08
Idaho,Blaine,8.57
Idaho,Boise,4.02
Idaho,Bonner,25.81
Idaho,Bonneville,62.62
Idaho,Boundary,9.42
Idaho,Butte,1.17
Idaho,Camas,1.05
Idaho,Canyon,380.72
Idaho,Caribou,4.00
Idaho,Cassia,9.30
Idaho,Clark,0.48
Idaho,Clearwater,3.56
Idaho,Custer,0.87
Idaho,Elmore,8.86
Idaho,Franklin,20.70
Idaho,Fremont,7.06
Idaho,Gem,31.50
Idaho,Gooding,20.84
Idaho,Idaho,1.95
Idaho,Jefferson,26.92
Idaho,Jerome,40.19
Idaho,Kootenai,130.48
Idaho,Latah,37.30
Idaho,Lemhi,1.74
Idaho,Lewis,8.06
Idaho,Lincoln,4.46
Idaho,Madison,83.76
Idaho,Minidoka,27.51
Idaho,Nez Perce,47.63
Idaho,Oneida,3.74
Idaho,Owyhee,1.52
Idaho,Payette,57.88
Idaho,Power,5.53
Idaho,Shoshone,4.85
Idaho,Teton,25.92
Idaho,Twin Falls,44.79
Idaho,Valley,3.01
Idaho,Washington,6.99
Illinois,Adams,76.82
Illinois,Alexander,25.74
Illinois,Bond,43.72
Illinois,Boone,190.82
Illinois,Brown,21.44
Illinois,Bureau,37.96
Illinois,Calhoun,18.92
Illinois,Carroll,32.13
Illinois,Cass,32.63
Illinois,Champaign,210.80
Illinois,Christian,46.03
Illinois,Clark,31.11
Illinois,Clay,28.30
Illinois,Clinton,79.42
Illinois,Coles,100.11
Illinois,Cook,5482.41
Illinois,Crawford,42.39
Illinois,Cumberland,31.24
Illinois,De Witt,39.66
Illinois,DeKalb,164.96
Illinois,Douglas,46.75
Illinois,DuPage,2833.14
Illinois,Edgar,27.85
Illinois,Edwards,28.74
Illinois,Effingham,71.45
Illinois,Fayette,29.89
Illinois,Ford,27.31
Illinois,Franklin,94.64
Illinois,Fulton,40.25
Illinois,Gallatin,15.66
Illinois,Greene,24.02
Illinois,Grundy,121.90
Illinois,Hamilton,18.78
Illinois,Hancock,22.48
Illinois,Hardin,22.04
Illinois,Henderson,17.71
Illinois,Henry,59.64
Illinois,Iroquois,24.70
Illinois,Jackson,98.39
Illinois,Jasper,19.43
Illinois,Jefferson,66.21
Illinois,Jersey,59.10
Illinois,Jo Daviess,35.56
Illinois,Johnson,36.24
Illinois,Kane,1028.60
Illinois,Kankakee,162.64
Illinois,Kendall,399.43
Illinois,Knox,69.95
Illinois,La Salle,96.40
Illinois,Lake,1578.81
Illinois,Lawrence,42.36
Illinois,Lee,47.22
Illinois,Livingston,34.27
Illinois,Logan,46.80
Illinois,Macon,180.36
Illinois,Macoupin,52.51
Illinois,Madison,369.61
Illinois,Marion,65.71
Illinois,Marshall,29.82
Illinois,Mason,25.15
Illinois,Massac,59.35
Illinois,McDonough,50.83
Illinois,McHenry,511.39
Illinois,McLean,146.06
Illinois,Menard,39.09
Illinois,Mercer,27.80
Illinois,Monroe,89.11
Illinois,Montgomery,40.64
Illinois,Morgan,59.72
Illinois,Moultrie,43.81
Illinois,Ogle,67.12
Illinois,Peoria,291.93
Illinois,Perry,47.92
Illinois,Piatt,37.33
Illinois,Pike,18.78
Illinois,Pope,11.42
Illinois,Pulaski,27.41
Illinois,Putnam,35.85
Illinois,Randolph,55.80
Illinois,Richland,43.78
Illinois,Rock Island,335.66
Illinois,Saline,62.91
Illinois,Sangamon,224.99
Illinois,Schuyler,15.79
Illinois,Scott,19.64
Illinois,Shelby,28.66
Illinois,St. Clair,396.93
Illinois,Stark,18.84
Illinois,Stephenson,79.31
Illinois,Tazewell,204.69
Illinois,Union,40.74
Illinois,Vermilion,85.50
Illinois,Wabash,51.72
Illinois,Warren,31.40
Illinois,Washington,24.88
Illinois,Wayne,22.88
Illinois,White,27.61
Illinois,Whiteside,81.31
Illinois,Will,828.25
Illinois,Williamson,159.58
Illinois,Winnebago,553.59
Illinois,Woodford,72.88
Indiana,Adams,105.14
Indiana,Allen,571.03
Indiana,Bartholomew,203.34
Indiana,Benton,21.29
Indiana,Blackford,72.27
Indiana,Boone,158.42
Indiana,Brown,48.83
Indiana,Carroll,54.07
Indiana,Cass,92.09
Indiana,Clark,314.77
Indiana,Clay,73.18
Indiana,Clinton,79.62
Indiana,Crawford,34.55
Indiana,Daviess,77.18
Indiana,De Kalb,119.14
Indiana,Dearborn,162.47
Indiana,Decatur,71.92
Indiana,Delaware,292.71
Indiana,Dubois,99.62
Indiana,Elkhart,443.81
Indiana,Fayette,107.19
Indiana,Floyd,525.65
Indiana,Fountain,41.32
Indiana,Franklin,59.14
Indiana,Fulton,54.54
Indiana,Gibson,68.63
Indiana,Grant,159.23
Indiana,Greene,59.00
Indiana,Hamilton,837.04
Indiana,Hancock,249.55
Indiana,Harrison,83.28
Indiana,Hendricks,410.45
Indiana,Henry,123.18
Indiana,Howard,281.05
Indiana,Huntington,94.71
Indiana,Jackson,86.50
Indiana,Jasper,59.62
Indiana,Jay,54.09
Indiana,Jefferson,89.31
Indiana,Jennings,73.32
Indiana,Johnson,487.53
Indiana,Knox,71.50
Indiana,Kosciusko,149.30
Indiana,La Porte,183.88
Indiana,LaGrange,103.60
Indiana,Lake,971.17
Indiana,Lawrence,101.67
Indiana,Madison,286.87
Indiana,Marion,2407.32
Indiana,Marshall,104.25
Indiana,Martin,30.43
Indiana,Miami,95.14
Indiana,Monroe,372.39
Indiana,Montgomery,75.99
Indiana,Morgan,173.62
Indiana,Newton,34.87
Indiana,Noble,115.69
Indiana,Ohio,67.84
Indiana,Orange,48.92
Indiana,Owen,54.10
Indiana,Parke,38.06
Indiana,Perry,50.04
Indiana,Pike,37.12
Indiana,Porter,405.65
Indiana,Posey,62.39
Indiana,Pulaski,28.75
Indiana,Putnam,78.62
Indiana,Randolph,54.93
Indiana,Ripley,63.89
Indiana,Rush,40.83
Indiana,Scott,125.41
Indiana,Shelby,108.46
Indiana,Spencer,51.23
Indiana,St. Joseph,591.35
Indiana,Starke,74.19
Indiana,Steuben,112.01
Indiana,Sullivan,46.27
Indiana,Switzerland,48.57
Indiana,Tippecanoe,386.94
Indiana,Tipton,58.06
Indiana,Union,43.66
Indiana,Vanderburgh,774.45
Indiana,Vermillion,60.26
Indiana,Vigo,266.10
Indiana,Wabash,75.82
Indiana,Warren,22.66
Indiana,Warrick,162.59
Indiana,Washington,54.40
Indiana,Wayne,164.12
Indiana,Wells,76.63
Indiana,White,47.77
Indiana,Whitley,101.54
Iowa,Adair,12.41
Iowa,Adams,8.61
Iowa,Allamakee,21.64
Iowa,Appanoose,25.01
Iowa,Audubon,12.43
Iowa,Benton,35.81
Iowa,Black Hawk,234.03
Iowa,Boone,46.09
Iowa,Bremer,57.29
Iowa,Buchanan,37.12
Iowa,Buena Vista,34.57
Iowa,Butler,25.06
Iowa,Calhoun,17.02
Iowa,Carroll,35.39
Iowa,Cass,22.91
Iowa,Cedar,32.15
Iowa,Cerro Gordo,75.04
Iowa,Cherokee,19.62
Iowa,Chickasaw,23.72
Iowa,Clarke,21.85
Iowa,Clay,28.44
Iowa,Clayton,22.55
Iowa,Clinton,66.94
Iowa,Crawford,24.02
Iowa,Dallas,153.28
Iowa,Davis,17.96
Iowa,Decatur,14.83
Iowa,Delaware,29.55
Iowa,Des Moines,94.05
Iowa,Dickinson,45.08
Iowa,Dubuque,159.22
Iowa,Emmet,23.37
Iowa,Fayette,26.90
Iowa,Floyd,31.48
Iowa,Franklin,17.40
Iowa,Fremont,13.68
Iowa,Greene,15.77
Iowa,Grundy,24.52
Iowa,Guthrie,18.15
Iowa,Hamilton,25.92
Iowa,Hancock,18.76
Iowa,Hardin,29.63
Iowa,Harrison,20.28
Iowa,Henry,46.21
Iowa,Howard,19.41
Iowa,Humboldt,21.98
Iowa,Ida,15.85
Iowa,Iowa,27.52
Iowa,Jackson,30.55
Iowa,Jasper,50.86
Iowa,Jefferson,42.20
Iowa,Johnson,246.76
Iowa,Jones,36.04
Iowa,Keokuk,17.65
Iowa,Kossuth,15.33
Iowa,Lee,65.80
Iowa,Linn,315.04
Iowa,Louisa,27.80
Iowa,Lucas,20.08
Iowa,Lyon,20.10
Iowa,Madison,28.96
Iowa,Mahaska,38.54
Iowa,Marion,60.25
Iowa,Marshall,69.84
Iowa,Mills,34.44
Iowa,Mitchell,22.53
Iowa,Monona,12.50
Iowa,Monroe,17.96
Iowa,Montgomery,23.59
Iowa,Muscatine,98.13
Iowa,O'Brien,24.15
Iowa,Osceola,15.15
Iowa,Page,28.51
Iowa,Palo Alto,15.84
Iowa,Plymouth,29.08
Iowa,Pocahontas,11.68
Iowa,Polk,851.44
Iowa,Pottawattamie,98.40
Iowa,Poweshiek,31.97
Iowa,Ringgold,9.28
Iowa,Sac,16.90
Iowa,Scott,378.27
Iowa,Shelby,19.60
Iowa,Sioux,45.46
Iowa,Story,171.35
Iowa,Tama,23.44
Iowa,Taylor,11.64
Iowa,Union,29.17
Iowa,Van Buren,14.48
Iowa,Wapello,81.52
Iowa,Warren,89.60
Iowa,Washington,38.93
Iowa,Wayne,12.18
Iowa,Webster,50.69
Iowa,Winnebago,26.26
Iowa,Winneshiek,29.03
Iowa,Woodbury,117.47
Iowa,Worth,18.63
Iowa,Wright,21.86
Kansas,Allen,24.87
Kansas,Anderson,13.59
Kansas,Atchison,37.56
Kansas,Barber,3.94
Kansas,Barton,29.17
Kansas,Bourbon,23.06
Kansas,Brown,16.81
Kansas,Butler,46.70
Kansas,Chase,3.40
Kansas,Chautauqua,5.18
Kansas,Cherokee,34.06
Kansas,Cheyenne,2.61
Kansas,Clark,2.06
Kansas,Clay,12.39
Kansas,Cloud,12.20
Kansas,Coffey,13.13
Kansas,Comanche,2.22
Kansas,Cowley,31.28
Kansas,Crawford,66.16
